"muni_id","municipalities","prov_id"
666,"Els Omellons                                                                                        ",25
667,"Els Omells de na Gaia                                                                               ",25
668,"Organyà                                                                                             ",25
669,"Os de Balaguer                                                                                      ",25
670,"Ossó de Sió                                                                                         ",25
671,"El Palau d'Anglesola                                                                                ",25
672,"Conca de Dalt                                                                                       ",25
673,"La Coma i la Pedra                                                                                  ",25
674,"Penelles                                                                                            ",25
675,"Peramola                                                                                            ",25
676,"Pinell de Solsonès                                                                                  ",25
677,"Pinós                                                                                               ",25
678,"El Poal                                                                                             ",25
679,"La Pobla de Cérvoles                                                                                ",25
680,"Bellaguarda                                                                                         ",25
681,"La Pobla de Segur                                                                                   ",25
682,"Ponts                                                                                               ",25
683,"El Pont de Suert                                                                                    ",25
684,"La Portella                                                                                         ",25
685,"Prats i Sansor                                                                                      ",25
686,"Preixana                                                                                            ",25
687,"Preixens                                                                                            ",25
688,"Prullans                                                                                            ",25
689,"Puiggròs                                                                                            ",25
690,"Puigverd d'Agramunt                                                                                 ",25
691,"Puigverd de Lleida                                                                                  ",25
692,"Rialp                                                                                               ",25
693,"Ribera d'Urgellet                                                                                   ",25
694,"Riner                                                                                               ",25
695,"Rosselló                                                                                            ",25
696,"Salàs de Pallars                                                                                    ",25
697,"Sanaüja                                                                                             ",25
698,"Sant Guim de Freixenet                                                                              ",25
699,"Sant Llorenç de Morunys                                                                             ",25
